Owner,Repo,Number,SHA,Author,A_Date,Committer,C_Date,Message
Asherlc,homecalc,105,b3c74cc8929ed22b3e198faec8ab9799f06faa24,dependabot-preview[bot],2021-04-05 13:57:10,GitHub,2021-04-05 13:57:10,Bump chrono-node from 2.1.8 to 2.2.6  Bumps [chrono-node](https://github.com/wanasit/chrono) from 2.1.8 to 2.2.6. - [Release notes](https://github.com/wanasit/chrono/releases) - [Commits](https://github.com/wanasit/chrono/compare/v2.1.8...v2.2.6)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
feldroy,django-crash-starter,224,76fa592e7e1970459aa21e0d5410650734d6a17c,dependabot-preview[bot],2021-04-05 13:48:54,GitHub,2021-04-05 13:48:54,Bump pillow from 7.2.0 to 8.2.0  Bumps [pillow](https://github.com/python-pillow/Pillow) from 7.2.0 to 8.2.0. - [Release notes](https://github.com/python-pillow/Pillow/releases) - [Changelog](https://github.com/python-pillow/Pillow/blob/master/CHANGES.rst) - [Commits](https://github.com/python-pillow/Pillow/compare/7.2.0...8.2.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aerickson,volumio-plugins,62,ed8066b6aee12681ad04cd528a1893e967317a4e,dependabot-preview[bot],2021-04-05 13:47:00,GitHub,2021-04-05 13:47:00,[Security] Bump googleapis in /plugins/music_service/youtube  Bumps [googleapis](https://github.com/googleapis/google-api-nodejs-client) from 19.0.0 to 70.0.0. **This update includes a security fix.** - [Release notes](https://github.com/googleapis/google-api-nodejs-client/releases) - [Changelog](https://github.com/googleapis/google-api-nodejs-client/blob/master/CHANGELOG.md) - [Commits](https://github.com/googleapis/google-api-nodejs-client/commits/googleapis-v70.0.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
feldroy,django-crash-starter,222,040847db2b1e4b43fac7fd88667f779ef8ddb064,dependabot-preview[bot],2021-04-05 13:44:32,GitHub,2021-04-05 13:44:32,Bump pillow in /{{cookiecutter.project_slug}}/requirements  Bumps [pillow](https://github.com/python-pillow/Pillow) from 7.2.0 to 8.2.0. - [Release notes](https://github.com/python-pillow/Pillow/releases) - [Changelog](https://github.com/python-pillow/Pillow/blob/master/CHANGES.rst) - [Commits](https://github.com/python-pillow/Pillow/compare/7.2.0...8.2.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
visormatt,generator,331,7679d80b73f6e277d8b0cbe8018ef91186050d63,dependabot-preview[bot],2021-04-05 13:32:39,GitHub,2021-04-05 13:32:39,[Security] Bump highlight.js from 10.2.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
dijonkitchen,material-ui-pickers,9,bccf0d3c157e80a6449c6f407037bfdbd1aed285,dependabot-preview[bot],2021-04-05 13:31:56,GitHub,2021-04-05 13:31:56,[Security] Bump prismjs from 1.21.0 to 1.23.0  Bumps [prismjs](https://github.com/PrismJS/prism) from 1.21.0 to 1.23.0. **This update includes a security fix.** - [Release notes](https://github.com/PrismJS/prism/releases) - [Changelog](https://github.com/PrismJS/prism/blob/master/CHANGELOG.md) - [Commits](https://github.com/PrismJS/prism/compare/v1.21.0...v1.23.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
nathang21,markdown-it,61,22e0f27d730728180d775fd21e4238e1e28d97b9,dependabot-preview[bot],2021-04-05 13:29:48,GitHub,2021-04-05 13:29:48,[Security] Bump highlight.js from 9.18.5 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.18.5 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.18.5...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
shaped1,Bot,15,5c3049c63ab226b4a553d00bcbe0f19537b27c07,dependabot-preview[bot],2021-04-05 13:29:20,GitHub,2021-04-05 13:29:20,[Security] Bump highlight.js from 10.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.4.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
atscott,is-adrian-going,315,5c57c3c0fe5a00dd294a59e835bd72c15b6fe084,dependabot-preview[bot],2021-04-05 13:20:57,GitHub,2021-04-05 13:20:57,[Security] Bump yargs-parser from 11.1.1 to 13.1.2  Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 11.1.1 to 13.1.2. **This update includes security fixes.** - [Release notes](https://github.com/yargs/yargs-parser/releases) - [Changelog](https://github.com/yargs/yargs-parser/blob/master/docs/CHANGELOG-full.md) - [Commits](https://github.com/yargs/yargs-parser/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ffffranklin,ffffranklin.github.io,264,21a4b328cb62ee82f8e2ade271aa8771914e7475,dependabot-preview[bot],2021-04-05 13:19:03,GitHub,2021-04-05 13:19:03,[Security] Bump kramdown from 1.17.0 to 2.3.1  Bumps [kramdown](https://github.com/gettalong/kramdown) from 1.17.0 to 2.3.1. **This update includes security fixes.** - [Release notes](https://github.com/gettalong/kramdown/releases) - [Changelog](https://github.com/gettalong/kramdown/blob/master/doc/news.page) - [Commits](https://github.com/gettalong/kramdown/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
dabutvin,grunt-markdown,122,66fbe12c62ea7b3185524d39343d06e4017f0d1f,dependabot-preview[bot],2021-04-05 13:14:08,GitHub,2021-04-05 13:14:08,[Security] Bump highlight.js from 8.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 8.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/8.4...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
Vyvy-vi-archives,lets-troll-ryan,6,8c55dbb93b617c747556250b6fc5e250f0e7cdba,dependabot-preview[bot],2021-04-05 12:29:50,GitHub,2021-04-05 12:29:50,build(deps): [security] bump react-dev-utils from 11.0.1 to 11.0.4  Bumps [react-dev-utils](https://github.com/facebook/create-react-app/tree/HEAD/packages/react-dev-utils) from 11.0.1 to 11.0.4. **This update includes a security fix.** - [Release notes](https://github.com/facebook/create-react-app/releases) - [Changelog](https://github.com/facebook/create-react-app/blob/master/CHANGELOG-1.x.md) - [Commits](https://github.com/facebook/create-react-app/commits/HEAD/packages/react-dev-utils)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
